TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a004257,D02,a004257,2;22;25;26;8;,2022-10-01,2022-10-04,자가용,수도권 거주 39세 이하 3인 이상 친구,2;22;25;26;8;,2;25;11
a_a002963,D02,a002963,12;22;3;,2022-09-25,2022-09-26,자가용,,12;22;3;,22;3;26
a_a005177,D02,a005177,1;21;24;26;5;,2022-10-08,2022-10-09,,수도권 거주 40세 이상 부부,1;21;24;26;5;,1;24;22
d_d004936,D01,d004936,22;26;,2022-10-15,2022-10-16,자가용,,22;26;,26;22;24
d_d009931,D01,d009931,1;10;28;4;6;,2022-11-01,2022-11-04,자가용,,1;10;28;4;6;,22;6;10
d_d003065,D01,d003065,1;10;23;28;3;,2022-10-12,2022-10-16,대중교통 등,40세 이상 자녀 동반 여행,1;10;23;28;3;,28;23;10
d_d003109,D01,d003109,21;22;23;26;,2022-10-18,2022-10-21,자가용,,21;22;23;26;,22;12;26
b_b000543,D02,b000543,21;22;24;27;3;,2022-08-04,2022-08-07,대중교통 등,,3;,3;27;24
d_d004016,D01,d004016,22;7;23;3;12;7;,2022-10-21,2022-10-24,자가용,,22;7;23;3;12;7;,2;22;24
d_d003349,D01,d003349,2;22;4;26;27;3;1;6;5;21;24;,2022-11-01,2022-11-04,대중교통 등,39세 이하 커플 여행,2;22;4;26;27;3;1;6;5;21;24;,1;4;24
d_d003020,D01,d003020,1;11;28;6;8;,2022-10-21,2022-10-24,자가용,,1;11;28;6;8;,6;9;1
d_d002396,D01,d002396,22;23;26;4;,2022-10-08,2022-10-12,자가용,,22;23;26;4;,26;6;4
d_d007611,D01,d007611,1;11;2;6;9;,2022-10-26,2022-10-31,대중교통 등,39세 이하 커플 여행,1;11;2;6;9;,6;10;9
d_d007532,D01,d007532,1;,2022-10-24,2022-10-28,대중교통 등,,1;,1;23;6
d_d001278,D01,d001278,1;22;28;,2022-09-24,2022-09-27,대중교통 등,39세 이하 부모 동반 여행,1;22;28;,22;28;1
d_d001224,D02,d001224,1;22;27;3;6;,2022-09-21,2022-09-25,대중교통 등,,1;22;27;3;6;,3;11;27
d_d007188,D01,d007188,23;28;5;6;9;,2022-10-28,2022-10-31,대중교통 등,,23;28;5;6;9;,27;22;5
d_d004582,D01,d004582,2;21;22;6;,2022-10-10,2022-10-13,자가용,39세 이하 커플 여행,2;21;22;6;,2;21;22
a_a002119,D02,a002119,1;22;23;26;4;,2022-10-01,2022-10-03,대중교통 등,수도권 거주 39세 이하 커플,1;22;23;26;4;,7;1;4
d_d002101,D01,d002101,21;22;24;25;26;,2022-10-08,2022-10-11,자가용,,21;22;24;25;26;,21;24;25
d_d002799,D01,d002799,1;2;,2022-10-03,2022-10-07,대중교통 등,39세 이하 커플 여행,1;2;,3;1;23
c_c002512,D02,c002512,21;22;,2022-09-22,2022-09-26,자가용,,21;22;,21;22;2
d_d009102,D01,d009102,4;21;22;22;27;,2022-10-30,2022-10-31,대중교통 등,,4;21;22;22;27;,27;22;4
d_d005029,D02,d005029,12;22;26;27;24;28;,2022-10-18,2022-10-21,자가용,,12;22;26;27;24;28;,21;12;22
d_d000561,D01,d000561,10;22;4;5;6;,2022-08-25,2022-08-29,자가용,,10;22;4;5;6;,5;22;26
d_d003204,D01,d003204,1;2;3;4;5;6;7;9;8;10;11;12;13;22;21;23;24;26;27;28;,2022-10-15,2022-10-17,대중교통 등,,1;2;3;4;5;6;7;9;8;10;11;12;13;22;21;23;24;26;27;28;,4;1;11
b_b001421,D02,b001421,1;10;13;,2022-08-28,2022-08-30,자가용,,1;10;13;,3;23;10
d_d001112,D02,d001112,3;5;7;,2022-09-10,2022-09-14,대중교통 등,,3;5;7;,22;24;1
d_d010973,D01,d010973,1;22;24;26;5;,2022-11-04,2022-11-08,대중교통 등,39세 이하 3인 이상 친구,1;22;24;26;5;,22;24;26
a_a004350,D02,a004350,2;22;24;26;,2022-10-08,2022-10-09,자가용,,2;22;24;26;,26;22;24
d_d005065,D01,d005065,1;11;2;,2022-10-09,2022-10-15,자가용,39세 이하 자녀 동반 여행,1;11;2;,2;11;6
d_d001812,D01,d001812,24;27;28;4;5;,2022-10-03,2022-10-07,대중교통 등,,24;27;28;4;5;,28;21;24
d_d009412,D01,d009412,1;2;22;5;,2022-11-02,2022-11-05,자가용,39세 이하 커플 여행,1;2;22;5;,5;1;22
b_b002884,D02,b002884,21;5;,2022-08-27,2022-08-29,대중교통 등,,21;5;,5;21;22
d_d002651,D01,d002651,22;24;,2022-10-14,2022-10-18,자가용,,22;24;,22;24;4
d_d008029,D01,d008029,1;21;22;,2022-10-28,2022-11-01,자가용,39세 이하 3인 이상 친구,1;21;22;,1;2;21
d_d001863,D01,d001863,10;13;21;24;6;,2022-10-04,2022-10-08,대중교통 등,39세 이하 커플 여행,10;13;21;24;6;,3;10;13
d_d004187,D02,d004187,27;3;,2022-10-15,2022-10-17,대중교통 등,,27;3;,22;27;3
b_b001752,D02,b001752,22;23;,2022-09-02,2022-09-04,자가용,,22;23;,23;22;6
b_b002235,D02,b002235,2;4;,2022-08-19,2022-08-21,대중교통 등,경상권 외에 거주하는 39세 이하 커플,2;4;,2;4;22
d_d002406,D01,d002406,10;2;23;5;7;,2022-09-30,2022-10-05,자가용,,10;2;23;5;7;,2;10;11
d_d002605,D01,d002605,27;21;22;23;,2022-10-22,2022-10-25,자가용,,27;21;22;23;,21;27;22
d_d004754,D01,d004754,23;27;6;,2022-10-15,2022-10-17,자가용,,23;27;6;,23;6;9
d_d002252,D01,d002252,1;26;5;6;7;,2022-10-01,2022-10-05,자가용,39세 이하 커플 여행,1;26;5;6;7;,1;28;11
d_d010266,D01,d010266,22;,2022-11-04,2022-11-08,대중교통 등,,22;,22;28;1
d_d010212,D01,d010212,10;12;22;23;24;,2022-10-29,2022-10-31,자가용,,10;12;22;23;24;,2;26;22
d_d004195,D01,d004195,1;22;4;6;9;,2022-10-12,2022-10-17,자가용,,1;22;4;6;9;,22;26;1
d_d009159,D01,d009159,8;,2022-10-29,2022-10-31,자가용,,8;,2;5;8
d_d000652,D01,d000652,22;5;,2022-08-25,2022-08-28,대중교통 등,,22;5;,3;5;22
d_d002973,D01,d002973,1;2;6;,2022-10-10,2022-10-13,대중교통 등,40세 이상 부부 여행,1;2;6;,2;6;1
d_d004638,D01,d004638,22;23;26;27;28;,2022-11-02,2022-11-08,대중교통 등,,22;23;26;27;28;,5;21;22
d_d005249,D01,d005249,28;21;,2022-10-23,2022-10-24,자가용,,28;21;,28;21;1
d_d001019,D01,d001019,22;28;5;6;8;,2022-09-02,2022-09-06,대중교통 등,,22;28;5;6;8;,9;22;28
d_d000297,D01,d000297,22;24;26;5;6;,2022-08-25,2022-08-29,대중교통 등,,22;24;26;5;6;,26;22;4
d_d001724,D01,d001724,10;11;5;8;9;,2022-10-22,2022-10-25,자가용,,10;11;5;8;9;,8;21;27
d_d010167,D01,d010167,3;5;6;27;,2022-11-03,2022-11-06,대중교통 등,,3;5;6;27;,6;27;3
d_d000092,D01,d000092,2;21;22;24;,2022-08-05,2022-08-08,대중교통 등,40세 이상 3인 이상 친구,2;,2;11;22
d_d008992,D01,d008992,1;2;3;23;,2022-10-27,2022-10-30,대중교통 등,39세 이하 3인 이상 친구,1;2;3;23;,23;1;6
