TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d002729,30,여,20,5,1,1,1,4,,3,,3,3,50,50130,26,26350,42,42130,5,3,2,4,1,6,5,2,대전광역시,제주,나홀로 여행,2022-10-11~2022-10-13,2,1,7,0
a001232,11,남,20,6,1,1,1,3,,4,,2,1,28,28260,29,29140,30,30200,6,2,2,3,3,3,5,2,서울특별시,인천,나홀로 여행,2022-09-02~2022-09-04,6,5,7,0
a000310,11,여,20,7,2,1,1,3,,5,,2,1,42,42150,42,42210,50,50110,3,2,1,1,6,5,2,6,서울특별시,인천,부모 동반 여행,2022-08-20~2022-08-21,3,1,7,4
b007077,26,여,30,6,1,2,3,3,,1,5,2,2,47,47130,48,48310,31,31200,2,5,2,4,6,2,2,4,부산광역시,경남,자녀 동반 여행,2022-10-23~2022-10-23,3,8,7,2
b000708,26,여,30,6,1,2,3,3,,5,9,2,1,48,48250,31,31140,47,47190,4,3,1,3,5,3,1,7,부산광역시,경남,자녀 동반 여행,2022-08-24~2022-08-25,2,3,10,2
d010562,27,남,20,6,1,1,1,2,,4,,3,5,50,50110,42,42150,48,48220,1,1,1,3,3,3,2,7,경기도,제주,2인 가족 여행,2022-10-30~2022-11-04,3,2,1,1
d001770,28,남,30,6,1,2,4,10,,7,12,2,1,41,41110,42,42110,27,27260,7,1,1,1,1,1,4,7,인천광역시,제주,자녀 동반 여행,2022-09-29~2022-10-04,5,9,2,3
d012285,50,남,40,6,1,1,1,1,,5,,2,4,50,50130,42,42210,11,11710,2,1,1,1,4,4,5,7,제주특별자치도,제주,나홀로 여행,2022-11-12~2022-11-12,7,5,4,0
d004600,41,여,30,6,1,2,2,2,,4,10,3,4,50,50130,50,50110,42,42110,4,1,2,4,2,3,6,7,경기도,제주,2인 가족 여행,2022-10-19~2022-10-22,3,7,1,1
a005918,41,여,50,4,1,2,3,9,,3,5,4,1,42,42230,11,11110,50,50110,1,1,1,1,1,1,1,1,경기도,인천,2인 여행(가족 외),2022-10-19~2022-10-20,1,3,2,1
d001638,41,남,40,6,1,2,4,2,,6,9,3,3,42,42210,50,50130,26,26350,2,2,3,4,3,4,4,6,경기도,제주,2인 여행(가족 외),2022-09-22~2022-09-25,3,2,1,1
d002378,41,남,20,6,1,1,2,5,,3,3,3,1,50,50110,26,26140,42,42770,4,1,1,7,7,7,4,4,경기도,제주,나홀로 여행,2022-10-03~2022-10-05,1,2,6,0
d002877,11,여,30,5,1,1,1,2,,4,,3,5,50,50130,47,47170,26,26350,1,1,1,3,4,1,7,1,서울특별시,제주,2인 여행(가족 외),2022-10-16~2022-10-19,3,1,2,1
a003519,11,여,30,8,3,1,3,12,,4,7,3,3,42,42150,26,26440,27,27230,1,3,1,5,6,2,2,3,서울특별시,도서 지역,나홀로 여행,2022-10-12~2022-10-13,8,6,1,0
a004219,11,여,20,6,1,1,5,13,,1,7,3,5,50,50110,41,41310,26,26350,3,2,4,5,1,4,5,4,서울특별시,인천,나홀로 여행,2022-10-07~2022-10-09,2,4,1,0
d004366,11,여,60,4,1,2,3,11,,1,5,2,1,46,46780,46,46880,45,45790,3,5,5,4,2,3,3,3,서울특별시,제주,자녀 동반 여행,2022-10-12~2022-10-14,9,7,2,2
c001984,45,남,30,7,1,2,4,2,,7,12,2,2,46,46130,45,45800,46,46110,6,2,6,6,6,6,2,2,전라북도,전북,자녀 동반 여행,2022-09-17~2022-09-18,3,1,7,3
d004500,50,남,30,6,1,2,2,3,,4,5,3,6,11,11710,26,26350,11,11680,5,2,3,4,5,6,6,6,제주특별자치도,제주,2인 가족 여행,2022-10-09~2022-10-10,9,1,3,1
d012314,50,여,40,6,1,4,1,2,,5,,2,3,50,50130,11,11110,43,43110,4,3,2,2,4,3,1,5,제주특별자치도,제주,2인 여행(가족 외),2022-11-13~2022-11-13,3,2,1,1
d000872,43,여,20,7,1,1,4,3,,2,7,2,1,42,42150,50,50130,50,50110,3,3,3,4,4,4,5,5,경기도,제주,2인 여행(가족 외),2022-08-24~2022-08-27,2,3,1,1
d000608,41,여,40,4,1,2,4,1,,5,9,3,2,41,41830,43,43750,50,50130,1,5,4,5,4,6,5,5,경기도,제주,2인 여행(가족 외),2022-08-19~2022-08-21,1,3,2,1
d009564,50,남,30,5,1,2,4,2,,4,7,3,5,11,11350,26,26350,50,50130,4,2,3,2,6,6,6,6,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-29~2022-10-30,3,1,7,3
d005593,50,여,40,6,1,1,1,4,,3,,3,10,50,50110,11,11440,26,26350,1,1,6,1,1,1,2,4,제주특별자치도,제주,나홀로 여행,2022-10-30~2022-10-30,8,2,1,0
d004153,50,여,20,5,1,1,1,4,,3,,2,4,48,48840,47,47130,50,50110,1,1,1,4,4,4,6,7,제주특별자치도,제주,나홀로 여행,2022-10-30~2022-10-31,7,4,1,0
d002598,41,남,20,6,1,1,4,2,,5,7,3,6,50,50130,42,42210,42,42830,1,1,2,3,4,4,2,1,경기도,제주,2인 여행(가족 외),2022-10-02~2022-10-04,1,2,3,1
d004476,50,남,30,6,1,2,2,2,,4,4,2,2,50,50110,50,50130,41,41130,1,7,1,1,1,1,1,4,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-11~2022-10-12,3,10,7,3
d000622,47,여,20,6,1,1,1,3,,4,,3,6,27,27110,26,26350,47,47130,4,3,5,4,3,6,5,3,경상북도,제주,나홀로 여행,2022-08-27~2022-08-30,2,7,1,1
